2459401.8428394 1.1574074074074e-05 0.91386934762119 0.061179537916063              1              1
2459401.8429551 1.1574074074074e-05 0.95238131091123 0.063066150430391              1              1
2459401.8430709 1.1574074074074e-05 0.9122978465435 0.057095911317792              1              1
2459401.8431867 1.1574074074074e-05 0.89905012027547 0.062519445208394              1              1
2459401.8433024 1.1574074074074e-05 0.91331543956719 0.063817000931957              1              1
2459401.8434182 1.1574074074074e-05 0.98637543301585 0.066912264555109              1              1
2459401.8435339 1.1574074074074e-05 0.81887630037146 0.056193297142837              1              1
2459401.8436497 1.1574074074074e-05 0.9528978237981 0.068328742440814              1              1
2459401.8437654 1.1574074074074e-05 0.88123401899151 0.060968595033269              1              1
2459401.8438812 1.1574074074074e-05 0.87701779187993 0.059315212977387              1              1
2459401.843997 1.1574074074074e-05 0.94929861516321 0.061568065480738              1              1
2459401.8441127 1.1574074074074e-05 0.96947645019552 0.059512415754576              1              1
2459401.8442285 1.1574074074074e-05 0.96228416970316 0.064027143497804              1              1
2459401.8443442 1.1574074074074e-05 0.94307564710937 0.063634211249276              1              1
2459401.84446 1.1574074074074e-05 0.95844687345549 0.066963926435167              1              1
2459401.8445757 1.1574074074074e-05 0.98874790822172 0.065916527214781              1              1
2459401.8446915 1.1574074074074e-05 0.96474297683601 0.065199780176154              1              1
2459401.8448073 1.1574074074074e-05 1.012837230729 0.071238657749954              1              1
2459401.844923 1.1574074074074e-05 0.94751644424266 0.064509915555018              1              1
2459401.8450388 1.1574074074074e-05 1.0196952730062 0.066506575061163              1              1
2459401.8451545 1.1574074074074e-05 0.99209154985138 0.06660911632314              1              1
2459401.8452703 1.1574074074074e-05 1.0290009673689 0.063534477751602              1              1
2459401.845386 1.1574074074074e-05 0.98309575966523 0.066101085339375              1              1
2459401.8455018 1.1574074074074e-05 1.0448038903217 0.071428744928948              1              1
2459401.8456176 1.1574074074074e-05 1.046375196368 0.061639610667619              1              1
2459401.8457333 1.1574074074074e-05 1.0713586474489 0.065504560812942              1              1
2459401.8458491 1.1574074074074e-05 1.0352699434666 0.069873881120333              1              1
2459401.8459648 1.1574074074074e-05 1.0446015570397 0.071665743732711              1              1
2459401.8460806 1.1574074074074e-05 1.0687201472563 0.063737817381446              1              1
2459401.8461963 1.1574074074074e-05 1.0073661384621 0.064459440407543              1              1
2459401.8463121 1.1574074074074e-05 1.0134566380776 0.064642099077385              1              1
2459401.8464279 1.1574074074074e-05 1.1044096478857 0.067150121095085              1              1
2459401.8465436 1.1574074074074e-05 1.0066383554604 0.063158229435846              1              1
2459401.8466594 1.1574074074074e-05 1.0171689594825 0.060671720996518              1              1
2459401.8467751 1.1574074074074e-05 1.0047646777337 0.064209566208211              1              1
2459401.8468909 1.1574074074074e-05 0.95378549719842 0.064052306015994              1              1
2459401.8470066 1.1574074074074e-05 1.0063846258605 0.063152395432419              1              1
2459401.8471224 1.1574074074074e-05 1.0908833317528 0.063641979808601              1              1
2459401.8472382 1.1574074074074e-05 1.021368391685 0.068725616417729              1              1
2459401.8473539 1.1574074074074e-05 1.0182539539319 0.064237132634055              1              1
2459401.8474697 1.1574074074074e-05 1.0126436278453 0.064425595847477              1              1
2459401.8475854 1.1574074074074e-05 1.0260070847049 0.067404953007698              1              1
2459401.8477012 1.1574074074074e-05 1.0638004848877 0.06882180651739              1              1
2459401.8478169 1.1574074074074e-05 1.001813563427 0.064050727719638              1              1
2459401.8479327 1.1574074074074e-05 1.0212747161048 0.065642787060436              1              1
2459401.8480485 1.1574074074074e-05 1.0400535445793 0.061988587026435              1              1
2459401.8481642 1.1574074074074e-05 1.0144054821941 0.066380261496899              1              1
2459401.84828 1.1574074074074e-05 1.0503670174872 0.061313694660082              1              1
2459401.8483957 1.1574074074074e-05 1.0207539617428 0.065038820344604              1              1
2459401.8485115 1.1574074074074e-05 1.034937478194 0.06820016330768              1              1
2459401.8486719 1.1574074074074e-05 1.0089006407675 0.064027582254498              1              1
2459401.8487877 1.1574074074074e-05 1.0334022207729 0.065105998660249              1              1
2459401.8489034 1.1574074074074e-05 1.0662340173667 0.065371190004852              1              1
2459401.8490192 1.1574074074074e-05 0.98209391889332 0.06857780029688              1              1
2459401.8491349 1.1574074074074e-05 1.0102904197794 0.061519433090868              1              1
2459401.8492507 1.1574074074074e-05 1.005132082153 0.062688834187198              1              1
2459401.8493665 1.1574074074074e-05 0.96690278928274 0.062360505628007              1              1
2459401.8494822 1.1574074074074e-05 0.91479849602086 0.06187253462013              1              1
2459401.849598 1.1574074074074e-05 0.97169141766547 0.065185963963709              1              1
2459401.8497137 1.1574074074074e-05 0.99870640342843 0.060501838432951              1              1
2459401.8498295 1.1574074074074e-05 0.95799493847373 0.060852284170552              1              1
2459401.8499452 1.1574074074074e-05 0.93030237420599 0.063692901138584              1              1
2459401.850061 1.1574074074074e-05 0.93321379101068 0.062523556547354              1              1
2459401.8501768 1.1574074074074e-05 0.97705639114935 0.06378904537907              1              1
